filename,person,face,cellphone,hand
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/AliBadshaAnjalath_542614_mv_snap_17498.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/AliBadshaAnjalath_542614_mv_snap_17487.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_600049_mv_snap_41940.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Shaila_612785_mv_snap_29994.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/M_606230_mv_snap_7796.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Jadhav_610679_mv_snap_22656.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Ekade_592588_mv_snap_39095.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_555172_mv_snap_34799.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_603428_mv_snap_41974.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_562878_mv_snap_34970.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Ekade_592588_mv_snap_39101.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/VRNS_605793_mv_snap_60.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Tharaka_590053_mv_snap_20569.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/M_613245_mv_snap_8101.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_600049_mv_snap_41934.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/M_608373_mv_snap_8006.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/M_606230_mv_snap_7823.jpg,1,1,1,1
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/Tharaka_572199_Mobile Camera_20036.jpg,1,0,0,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/M_608373_mv_snap_8003.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/r_600049_mv_snap_41933.jpg,1,1,1,0
/home/ajeet/codework/datasets/Training_Validation_Dataset_2024_Ajeet-20241107T105545Z-001/Training_Validation_Dataset_2024_Ajeet/cts_mobile_jan_to_march_2022/cts_labelled_cellphone_images/AliBadshaAnjalath_542614_mv_snap_17499.jpg,1,1,1,0
